source_row,course_id,raw_time,room_id,building,floor,room_number,capacity,raw_room
58,12849001,"월6 ,월7 ,월8",AI관-303,AI관,3,303,46,AI관-303
66,13974003,"수6 ,수7 ,수8",AI관-303,AI관,3,303,46,AI관-303
61,14230001,"월3 ,화2 ,화3",AI관-303,AI관,3,303,46,AI관-303
62,14230007,"화4 ,화5 ,수4",AI관-303,AI관,3,303,155,AI관-303
63,15083001,"목6 ,목7 ,목8",AI관-303,AI관,3,303,0,AI관-303
59,15978114,월10,AI관-303,AI관,3,303,20,AI관-303
4,15989001,"화7 ,화8 ,수9",AI관-303,AI관,3,303,46,"AI관-100,AI관-303"
70,13974001,"월5 ,월6 ,화2",AI관-305,AI관,3,305,38,AI관-305
68,15079001,"월7 ,월8 ,월9",AI관-305,AI관,3,305,0,AI관-305
71,15081001,"화3 ,화4 ,화5 ,화6",AI관-305,AI관,3,305,0,AI관-305
69,15082001,"수1 ,수2 ,수3 ,수4",AI관-305,AI관,3,305,0,AI관-305
72,15084001,"목3 ,목4 ,금3 ,금4",AI관-305,AI관,3,305,0,AI관-305
73,15085001,"화7 ,화8 ,화9",AI관-305,AI관,3,305,0,AI관-305
67,15978037,월10,AI관-305,AI관,3,305,0,AI관-305
76,03500001,"수4 ,금5 ,금6",AI관-306,AI관,3,306,42,AI관-306
77,03511001,"월9 ,화8 ,화9",AI관-306,AI관,3,306,42,AI관-306
116,14269001,"월1 ,월2 ,화4",AI관-306,AI관,3,306,42,"AI관-409,AI관-306"
75,15762005,"목1 ,목2 ,목3",AI관-306,AI관,3,306,22,AI관-306
74,15978202,월10,AI관-306,AI관,3,306,20,AI관-306
81,09571003,"금7 ,금8 ,금9",AI관-307,AI관,3,307,60,AI관-307
82,13119001,"수1 ,수2 ,수3",AI관-307,AI관,3,307,60,AI관-307
83,13119006,"목6 ,목7 ,목8",AI관-307,AI관,3,307,60,AI관-307
78,13879001,"월1 ,월2 ,화1",AI관-307,AI관,3,307,60,AI관-307
79,13879002,"월3 ,화2 ,화3",AI관-307,AI관,3,307,60,AI관-307
84,13970002,"수5 ,수6 ,수7",AI관-307,AI관,3,307,60,AI관-307
85,14206004,"월5 ,월6 ,월7",AI관-307,AI관,3,307,60,AI관-307
86,14206005,"화5 ,화6 ,화7",AI관-307,AI관,3,307,60,AI관-307
87,14206006,"금1 ,금2 ,금3",AI관-307,AI관,3,307,60,AI관-307
88,14207003,"금4 ,금5 ,금6",AI관-307,AI관,3,307,60,AI관-307
80,14329007,"목1 ,목2 ,목3",AI관-307,AI관,3,307,60,AI관-307
89,15978120,월10,AI관-318,AI관,3,318,20,AI관-318
90,15978039,월10,AI관-321,AI관,3,321,20,AI관-321
91,15978117,월10,AI관-328,AI관,3,328,20,AI관-328
92,15978081,월10,AI관-407,AI관,4,407,20,AI관-407
100,03671007,"월7 ,월8 ,월9",AI관-408,AI관,4,408,60,AI관-408
93,12849004,"화7 ,화8 ,화9",AI관-408,AI관,4,408,60,AI관-408
94,12849005,"목7 ,목8 ,목9",AI관-408,AI관,4,408,60,AI관-408
101,13975001,"월4 ,월5 ,화4",AI관-408,AI관,4,408,60,AI관-408
99,14230006,"수6 ,수7 ,수8",AI관-408,AI관,4,408,60,AI관-408
95,14329001,"화1 ,화2 ,화3",AI관-408,AI관,4,408,60,AI관-408
96,14329002,"금1 ,금2 ,금3",AI관-408,AI관,4,408,60,AI관-408
97,14329003,"금6 ,금7 ,금8",AI관-408,AI관,4,408,60,AI관-408
102,14798005,"월6 ,화5 ,화6",AI관-408,AI관,4,408,60,AI관-408
103,14802001,"목4 ,금4 ,금5",AI관-408,AI관,4,408,60,AI관-408
104,14802002,"월1 ,월2 ,월3",AI관-408,AI관,4,408,60,AI관-408
105,14854004,"수1 ,수2 ,수3",AI관-408,AI관,4,408,60,AI관-408
106,14854005,"목1 ,목2 ,목3",AI관-408,AI관,4,408,60,AI관-408
98,15978116,월10,AI관-408,AI관,4,408,20,AI관-408
109,14260001,"월9 ,수4 ,수5",AI관-409,AI관,4,409,54,AI관-409
107,14261001,"수2 ,수3",AI관-409,AI관,4,409,54,AI관-409
112,14264001,"목4 ,금1 ,금2",AI관-409,AI관,4,409,54,AI관-409
110,14265001,"수1 ,목5 ,목6",AI관-409,AI관,4,409,54,AI관-409
116,14269001,"월1 ,월2 ,화4",AI관-409,AI관,4,409,42,"AI관-409,AI관-306"
117,14270001,"수8 ,금4 ,금5",AI관-409,AI관,4,409,50,"AI관-409,AI관-511"
248,14271001,"수5 ,목1 ,목2",AI관-409,AI관,4,409,54,"AI관-511,AI관-409"
184,14273001,"수6 ,수7 ,목3",AI관-409,AI관,4,409,50,"AI관-503,AI관-409"
111,14276001,"화1 ,화2 ,화3 ,화4",AI관-409,AI관,4,409,50,AI관-409
113,14283001,"월5 ,월6 ,화8 ,화9",AI관-409,AI관,4,409,40,AI관-409
114,14287001,"월7 ,월8 ,화7",AI관-409,AI관,4,409,50,AI관-409
115,14808001,"월3 ,월4 ,화5 ,화6",AI관-409,AI관,4,409,40,AI관-409
108,15978144,월10,AI관-409,AI관,4,409,20,AI관-409
122,05943001,"수5 ,금4 ,금5",AI관-410,AI관,4,410,60,"AI관-410,AI관-504"
119,05943005,"목5 ,목6 ,목7",AI관-410,AI관,4,410,61,AI관-410
121,08357001,"월7 ,월8 ,화2",AI관-410,AI관,4,410,60,AI관-410
189,10429001,"월7 ,월8 ,수8",AI관-410,AI관,4,410,60,"AI관-504,AI관-410"
120,10429003,"월9 ,수6 ,수7",AI관-410,AI관,4,410,60,AI관-410
118,15978201,월10,AI관-410,AI관,4,410,20,AI관-410
158,14448003,"월5 ,수7 ,수8",AI관-411,AI관,4,411,40,"AI관-414,AI관-411"
127,14455001,"화3 ,화4 ,목3",AI관-411,AI관,4,411,40,"AI관-411,AI관-413"
128,14455002,"화5 ,화6 ,목4",AI관-411,AI관,4,411,53,"AI관-411,AI관-413"
132,14455005,"수2 ,수3 ,목4",AI관-411,AI관,4,411,55,"AI관-411,AI관-511"
131,14457002,"화7 ,화8 ,목5",AI관-411,AI관,4,411,45,"AI관-411,AI관-511"
129,14457004,"월5 ,월6 ,금3",AI관-411,AI관,4,411,55,"AI관-411,AI관-414"
130,14467003,"수4 ,목5 ,목6",AI관-411,AI관,4,411,65,"AI관-411,AI관-414"
148,14467004,"화7 ,수5 ,수6",AI관-411,AI관,4,411,60,"AI관-413,AI관-411"
249,14467005,"수7 ,목2 ,목3",AI관-411,AI관,4,411,60,"AI관-511,AI관-411"
124,15190005,"금10 ,금11 ,금12",AI관-411,AI관,4,411,50,AI관-411
123,15978137,월10,AI관-411,AI관,4,411,25,AI관-411
125,AIB02002,"토5 ,토6 ,토7 ,토8 ,일5 ,일6 ,일7 ,일8 ,일9",AI관-411,AI관,4,411,30,AI관-411
126,AIB05002,"토5 ,토6 ,토7 ,토8 ,일5 ,일6 ,일7 ,일8 ,일9",AI관-411,AI관,4,411,30,AI관-411
139,13966001,"월2 ,월3 ,수6",AI관-412,AI관,4,412,55,"AI관-412,AI관-413"
140,13966002,"월5 ,월6 ,수7",AI관-412,AI관,4,412,55,"AI관-412,AI관-413"
133,14266001,"수6 ,수7",AI관-412,AI관,4,412,57,AI관-412
137,14446001,"화5 ,화6 ,목4",AI관-412,AI관,4,412,55,"AI관-412,AI관-301"
159,14448005,"월6 ,목6 ,목7",AI관-412,AI관,4,412,54,"AI관-414,AI관-412"
141,14455003,"화3 ,화4 ,수4",AI관-412,AI관,4,412,55,"AI관-412,AI관-413"
45,14455004,"수5 ,수6 ,목5",AI관-412,AI관,4,412,55,"AI관-301,AI관-412"
142,14455006,"화1 ,화2 ,수3",AI관-412,AI관,4,412,40,"AI관-412,AI관-413"
138,14457006,"월4 ,목2 ,목3",AI관-412,AI관,4,412,62,"AI관-412,AI관-301"
149,14461004,"월8 ,월9 ,수2",AI관-412,AI관,4,412,65,"AI관-413,AI관-412"
143,14467002,"화7 ,수5 ,수6",AI관-412,AI관,4,412,65,"AI관-412,AI관-414"
160,14722001,"월3 ,월4 ,목3",AI관-412,AI관,4,412,54,"AI관-414,AI관-412"
136,14722002,"수3 ,수4 ,목4",AI관-412,AI관,4,412,50,AI관-412
135,15190003,"금10 ,금11 ,금12",AI관-412,AI관,4,412,50,AI관-412
134,15978135,월10,AI관-412,AI관,4,412,25,AI관-412
139,13966001,"월2 ,월3 ,수6",AI관-413,AI관,4,413,55,"AI관-412,AI관-413"
140,13966002,"월5 ,월6 ,수7",AI관-413,AI관,4,413,55,"AI관-412,AI관-413"
127,14455001,"화3 ,화4 ,목3",AI관-413,AI관,4,413,40,"AI관-411,AI관-413"
128,14455002,"화5 ,화6 ,목4",AI관-413,AI관,4,413,53,"AI관-411,AI관-413"
141,14455003,"화3 ,화4 ,수4",AI관-413,AI관,4,413,55,"AI관-412,AI관-413"
142,14455006,"화1 ,화2 ,수3",AI관-413,AI관,4,413,40,"AI관-412,AI관-413"
147,14457001,"월5 ,월6 ,수5",AI관-413,AI관,4,413,55,AI관-413
46,14461003,"월3 ,월4 ,화6",AI관-413,AI관,4,413,65,"AI관-301,AI관-413"
149,14461004,"월8 ,월9 ,수2",AI관-413,AI관,4,413,65,"AI관-413,AI관-412"
144,14462002,"화2 ,화3 ,목2",AI관-413,AI관,4,413,65,AI관-413
145,14462003,"수1 ,수2 ,목1",AI관-413,AI관,4,413,62,AI관-413
150,14462004,"화4 ,화5 ,목4",AI관-413,AI관,4,413,65,"AI관-413,AI관-414"
161,14467001,"수4 ,목5 ,목6",AI관-413,AI관,4,413,65,"AI관-414,AI관-413"
148,14467004,"화7 ,수5 ,수6",AI관-413,AI관,4,413,60,"AI관-413,AI관-411"
146,15190004,"금10 ,금11 ,금12",AI관-413,AI관,4,413,50,AI관-413
152,10380001,"화6 ,목8 ,목9",AI관-414,AI관,4,414,65,AI관-414
162,13978001,"월2 ,수4 ,수5",AI관-414,AI관,4,414,60,"AI관-414,AI관-509"
250,14244001,"월3 ,월4 ,수7",AI관-414,AI관,4,414,65,"AI관-511,AI관-414"
251,14244002,"월5 ,월6 ,수8",AI관-414,AI관,4,414,65,"AI관-511,AI관-414"
154,14448001,"화1 ,화2 ,수3",AI관-414,AI관,4,414,40,AI관-414
155,14448002,"화3 ,수1 ,수2",AI관-414,AI관,4,414,40,AI관-414
158,14448003,"월5 ,수7 ,수8",AI관-414,AI관,4,414,40,"AI관-414,AI관-411"
159,14448005,"월6 ,목6 ,목7",AI관-414,AI관,4,414,54,"AI관-414,AI관-412"
129,14457004,"월5 ,월6 ,금3",AI관-414,AI관,4,414,55,"AI관-411,AI관-414"
157,14462001,"화4 ,화5 ,수2",AI관-414,AI관,4,414,60,"AI관-414,AI관-301"
150,14462004,"화4 ,화5 ,목4",AI관-414,AI관,4,414,65,"AI관-413,AI관-414"
161,14467001,"수4 ,목5 ,목6",AI관-414,AI관,4,414,65,"AI관-414,AI관-413"
143,14467002,"화7 ,수5 ,수6",AI관-414,AI관,4,414,65,"AI관-412,AI관-414"
130,14467003,"수4 ,목5 ,목6",AI관-414,AI관,4,414,65,"AI관-411,AI관-414"
160,14722001,"월3 ,월4 ,목3",AI관-414,AI관,4,414,54,"AI관-414,AI관-412"
156,14856001,"화7 ,화8 ,화9",AI관-414,AI관,4,414,64,AI관-414
153,15190001,"금10 ,금11 ,금12",AI관-414,AI관,4,414,50,AI관-414
151,15978136,월10,AI관-414,AI관,4,414,25,AI관-414
167,03671005,"월8 ,화6 ,화7",AI관-415,AI관,4,415,60,AI관-415
168,03671008,"목1 ,목2 ,목3",AI관-415,AI관,4,415,60,AI관-415
169,03671009,"수4 ,금1 ,금2",AI관-415,AI관,4,415,60,AI관-415
170,08095003,"월1 ,월2 ,수1",AI관-415,AI관,4,415,60,AI관-415
171,08095004,"월3 ,수2 ,수3",AI관-415,AI관,4,415,60,AI관-415
172,08095007,"금6 ,금7 ,금8",AI관-415,AI관,4,415,60,AI관-415
163,13879004,"화1 ,화2 ,화3",AI관-415,AI관,4,415,60,AI관-415
173,14207004,"목6 ,목7 ,목8",AI관-415,AI관,4,415,60,AI관-415
166,14230003,"수6 ,수7 ,수8",AI관-415,AI관,4,415,60,AI관-415
164,14258001,"금3 ,금4",AI관-415,AI관,4,415,60,AI관-415
174,14798001,"월5 ,월6 ,화5",AI관-415,AI관,4,415,60,AI관-415
165,15978121,월10,AI관-415,AI관,4,415,20,AI관-415
175,15978133,월10,AI관-424,AI관,4,424,25,AI관-424
176,15978038,월10,AI관-431,AI관,4,431,25,AI관-431
184,14273001,"수6 ,수7 ,목3",AI관-503,AI관,5,503,50,"AI관-503,AI관-409"
179,14403001,"화2 ,화3 ,목2 ,목3",AI관-503,AI관,5,503,57,AI관-503
181,14405001,"월7 ,월8 ,월9",AI관-503,AI관,5,503,57,AI관-503
182,14841001,"월2 ,수2 ,수3",AI관-503,AI관,5,503,57,AI관-503
183,14843001,"수5 ,목5 ,목6",AI관-503,AI관,5,503,57,AI관-503
180,14845001,"월6 ,화6 ,화7",AI관-503,AI관,5,503,57,AI관-503
177,15424001,"월3 ,월4 ,화8",AI관-503,AI관,5,503,57,AI관-503
178,15978155,월10,AI관-503,AI관,5,503,20,AI관-503
122,05943001,"수5 ,금4 ,금5",AI관-504,AI관,5,504,60,"AI관-410,AI관-504"
186,06548001,"월3 ,월4 ,금3",AI관-504,AI관,5,504,60,AI관-504
189,10429001,"월7 ,월8 ,수8",AI관-504,AI관,5,504,60,"AI관-504,AI관-410"
196,15187001,"월1 ,월2 ,목2",AI관-504,AI관,5,504,60,"AI관-505,AI관-504"
187,15187004,"월1 ,월2 ,화6",AI관-504,AI관,5,504,60,AI관-504
188,15271003,"화1 ,화2 ,수1",AI관-504,AI관,5,504,60,AI관-504
185,15978049,월10,AI관-504,AI관,5,504,22,AI관-504
191,05943003,"화1 ,화2 ,수1",AI관-505,AI관,5,505,62,AI관-505
192,05943004,"수5 ,금6 ,금7",AI관-505,AI관,5,505,60,AI관-505
193,06548003,"목1 ,목2 ,금1",AI관-505,AI관,5,505,60,AI관-505
194,06548004,"월3 ,월4 ,금9",AI관-505,AI관,5,505,60,AI관-505
195,08357002,"월7 ,월8 ,목6",AI관-505,AI관,5,505,60,AI관-505
196,15187001,"월1 ,월2 ,목2",AI관-505,AI관,5,505,60,"AI관-505,AI관-504"
190,15978200,월10,AI관-505,AI관,5,505,20,AI관-505
201,09571004,"목1 ,목2 ,목3",AI관-507,AI관,5,507,45,AI관-507
197,12849002,"수7 ,수8 ,수9",AI관-507,AI관,5,507,0,AI관-507
